ts_code,name,year,net_operate_cf,total_depre_amort,interest_paid,cash_div,receipt_ratio,cash_pressure_ratio,contract_liab_ratio,triple_coverage_ratio,note,anomaly
000568,泸州老窖,2013,122659.02624600001,13837.60453,263316.1989,0,0.8213148141876079,0.9506697792597955,14.984501227689536,0.4425666352794563,"利息支出估算: div_interest_paid × 0.2, 折旧摊销取自现金流量表补充资料",三重覆盖倍数低于1，现金流安全边际不足
000568,泸州老窖,2014,130711.0086,15443.20366,180311.2987,3281,1.291130449575747,1.4561157548220718,43.18063372410434,0.6567220775406654,"利息支出估算: div_interest_paid × 0.2, 折旧摊销取自现金流量表补充资料",付现压迫度超过1.2，对供应商付款压力较大; 三重覆盖倍数低于1，现金流安全边际不足
000568,泸州老窖,2015,15279.14337,16192.622413999998,121375.2369,0,0.8090504448797499,1.219809698227459,23.16445146256466,0.11106622904241506,"利息支出估算: div_interest_paid × 0.2, 折旧摊销取自现金流量表补充资料",付现压迫度超过1.2，对供应商付款压力较大; 三重覆盖倍数低于1，现金流安全边际不足
000568,泸州老窖,2016,262508.8408,15793.389489999998,117487.2147,0,0.8413792464298919,0.5810201900522699,12.895019696526058,1.969595219736903,"利息支出估算: div_interest_paid × 0.2, 折旧摊销取自现金流量表补充资料",付现压迫度低于0.8，大量占用供应商信用
000568,泸州老窖,2017,369340.74618899997,16940.26904,138743.0813,24412.500352999996,1.0574758028272218,1.2951627685433793,18.83048553645839,2.0508009748660934,"利息支出估算: div_interest_paid × 0.2, 折旧摊销取自现金流量表补充资料",付现压迫度超过1.2，对供应商付款压力较大
000568,泸州老窖,2018,429791.60182399995,16405.14843,191154.5068,960.48,1.005135323853362,1.3042586237391283,12.289298744785004,2.061151559511258,"利息支出估算: div_interest_paid × 0.2, 折旧摊销取自现金流量表补充资料",付现压迫度超过1.2，对供应商付款压力较大
000568,泸州老窖,2019,484161.92038599995,16738.864354999998,239025.02078000002,1014.91,1.0341315840729164,1.7310294051978548,14.190124362413261,1.885521427621991,"利息支出估算: div_interest_paid × 0.2, 折旧摊销取自现金流量表补充资料",付现压迫度超过1.2，对供应商付款压力较大
000568,泸州老窖,2020,491610.2451,30891.330977999998,242054.1437,18,0.913066048995534,1.3939629410420038,10.081377711667834,1.8010110903619676,"利息支出估算: div_interest_paid × 0.2, 折旧摊销取自现金流量表补充资料",付现压迫度超过1.2，对供应商付款压力较大
000568,泸州老窖,2021,769864.8105,55187.64646900001,316855.321,2237.1107220000267,0.9666243144127541,1.7178816964295485,17.004486950700787,2.056921688662591,"利息支出估算: div_interest_paid × 0.2, 折旧摊销取自现金流量表补充资料",付现压迫度超过1.2，对供应商付款压力较大
000568,泸州老窖,2022,826264.8269720001,62909.45909000001,492892.7485,252159.4913,0.9127577362471332,1.5504797887508142,10.215010868537986,1.0226534601322077,"利息支出估算: div_interest_paid × 0.2, 折旧摊销取自现金流量表补充资料",付现压迫度超过1.2，对供应商付款压力较大
000568,泸州老窖,2023,1064836.494,66762.49821,654649.586,153230.32478900003,0.9246508621197397,1.861594991771055,8.841168405571326,1.2174535360419592,"利息支出估算: div_interest_paid × 0.2, 折旧摊销取自现金流量表补充资料",付现压迫度超过1.2，对供应商付款压力较大
000568,泸州老窖,2024,1918176.836,77366.04179,828349.3372,404543.9162260001,1.1357221744594603,1.533791128525949,12.751954986105545,1.463967356264381,"利息支出估算: div_interest_paid × 0.2, 折旧摊销取自现金流量表补充资料",付现压迫度超过1.2，对供应商付款压力较大
000596,古井贡酒,2013,63825.535530999994,10801.454846999999,25180,0,1.039744548696387,1.2088489539749587,3.2148228733779747,1.773845326777317,"利息支出估算: div_interest_paid × 0.2, 折旧摊销取自现金流量表补充资料",付现压迫度超过1.2，对供应商付款压力较大
000596,古井贡酒,2014,38749.42899,16792.79169,17626,0,1.008351111355902,1.0399671521833043,8.116860239504776,1.12582188659131,"利息支出估算: div_interest_paid × 0.2, 折旧摊销取自现金流量表补充资料",
000596,古井贡酒,2015,79010.9535,21442.902554999997,10072,0,1.0639745478441018,1.1647841556214817,11.584189719125241,2.5070981375591948,"利息支出估算: div_interest_paid × 0.2, 折旧摊销取自现金流量表补充资料",
000596,古井贡酒,2016,118323.18080599999,24605.362854000003,5036,10537.65375,1.0341967453629974,1.1559925776128184,10.370213013194482,2.9448998711667045,"利息支出估算: div_interest_paid × 0.2, 折旧摊销取自现金流量表补充资料",
000596,古井贡酒,2017,93091.47128,24612.66569,30216,0,0.8943059587651867,0.41707317087703116,7.219570049113648,1.6978613304077728,"利息支出估算: div_interest_paid × 0.2, 折旧摊销取自现金流量表补充资料",付现压迫度低于0.8，大量占用供应商信用
000596,古井贡酒,2018,144088.12859500002,23577.95065,50360,1.6553339999973773,0.9330628259071426,0.5908584049324749,13.229619438677423,1.9487272981435642,"利息支出估算: div_interest_paid × 0.2, 折旧摊销取自现金流量表补充资料",付现压迫度低于0.8，大量占用供应商信用
000596,古井贡酒,2019,19244.70635,26291.710369999997,75540,0,0.9129798497589485,0.6569558228525465,5.086540902024132,0.18898539831134528,"利息支出估算: div_interest_paid × 0.2, 折旧摊销取自现金流量表补充资料",付现压迫度低于0.8，大量占用供应商信用; 三重覆盖倍数低于1，现金流安全边际不足
000596,古井贡酒,2020,362454.35255300003,27224.955071000004,83183.83445499999,0,0.9292842015232502,0.8691196043164571,11.723341631078956,3.282839655330577,"利息支出估算: div_interest_paid × 0.2, 折旧摊销取自现金流量表补充资料",
000596,古井贡酒,2021,525430.8128,30069.26674,76009.38866,37745.38059699999,1.035909992658409,0.7495877497452129,13.756379844411878,3.6532893069481087,"利息支出估算: div_interest_paid × 0.2, 折旧摊销取自现金流量表补充资料",付现压迫度低于0.8，大量占用供应商信用
000596,古井贡酒,2022,310791.4579,29976.63568,121127.96909200001,19342.290254999996,0.9185973164984448,0.8145724840451337,4.945999504087009,1.823391725022438,"利息支出估算: div_interest_paid × 0.2, 折旧摊销取自现金流量表补充资料",
000596,古井贡酒,2023,449620.6034,37435.762329000005,164771.44358599998,16196.48172800002,0.908689720000651,0.7517074657332177,6.9179174439032005,2.0586676364958834,"利息支出估算: div_interest_paid × 0.2, 折旧摊销取自现金流量表补充资料",付现压迫度低于0.8，大量占用供应商信用
000596,古井贡酒,2024,472765.28738500003,55397.49662,247270.3924,15093.968565999985,0.8711787239487656,0.8623564602683361,14.907162448552578,1.4877974685542188,"利息支出估算: div_interest_paid × 0.2, 折旧摊销取自现金流量表补充资料",
000799,酒鬼酒,2013,-46804.50178,3494.628564,6526.0796,0,0.6259919630206388,1.2064289583383094,16.55800227833013,-4.670777855,"利息支出估算: div_interest_paid × 0.2, 折旧摊销取自现金流量表补充资料",付现压迫度超过1.2，对供应商付款压力较大; 三重覆盖倍数低于1，现金流安全边际不足
000799,酒鬼酒,2014,-6565.362992,3984.7707400000004,87.325,7006.37875,0.961029375534063,1.1143409106793156,49.20133449841283,-0.59262338,"利息支出估算: div_interest_paid × 0.2, 折旧摊销取自现金流量表补充资料",三重覆盖倍数低于1，现金流安全边际不足
000799,酒鬼酒,2015,23066.505613999998,4049.7600799999996,309.975,3000,0.9881938078699365,0.4968756276062523,31.693555270269513,3.1341489011857204,"利息支出估算: div_interest_paid × 0.2, 折旧摊销取自现金流量表补充资料",付现压迫度低于0.8，大量占用供应商信用
000799,酒鬼酒,2016,21930.78651,4811.457947999999,231.844619,0,0.979625963259652,0.9700357883447029,23.541299127948918,4.348497083934722,"利息支出估算: div_interest_paid × 0.2, 折旧摊销取自现金流量表补充资料",
